RIBO-WT-1	NC_000911.1	352120
RIBO-WT-1	NC_005229.1	2453
RIBO-WT-1	NC_005230.1	5686
RIBO-WT-1	NC_005231.1	663
RIBO-WT-1	NC_005232.1	1211
RIBO-WT-2	NC_000911.1	644080
RIBO-WT-2	NC_005229.1	3278
RIBO-WT-2	NC_005230.1	13903
RIBO-WT-2	NC_005231.1	1332
RIBO-WT-2	NC_005232.1	2742
RNA-WT-1	NC_000911.1	260294
RNA-WT-1	NC_005229.1	2247
RNA-WT-1	NC_005230.1	24965
RNA-WT-1	NC_005231.1	1054
RNA-WT-1	NC_005232.1	8062
RNA-WT-2	NC_000911.1	138906
RNA-WT-2	NC_005229.1	1563
RNA-WT-2	NC_005230.1	16095
RNA-WT-2	NC_005231.1	750
RNA-WT-2	NC_005232.1	3813
RNATIS-WT-1	NC_000911.1	260294
RNATIS-WT-1	NC_005229.1	2247
RNATIS-WT-1	NC_005230.1	24965
RNATIS-WT-1	NC_005231.1	1054
RNATIS-WT-1	NC_005232.1	8062
RNATIS-WT-2	NC_000911.1	138906
RNATIS-WT-2	NC_005229.1	1563
RNATIS-WT-2	NC_005230.1	16095
RNATIS-WT-2	NC_005231.1	750
RNATIS-WT-2	NC_005232.1	3813
TIS-WT-1	NC_000911.1	270818
TIS-WT-1	NC_005229.1	2501
TIS-WT-1	NC_005230.1	6252
TIS-WT-1	NC_005231.1	1246
TIS-WT-1	NC_005232.1	1608
TIS-WT-2	NC_000911.1	745642
TIS-WT-2	NC_005229.1	10128
TIS-WT-2	NC_005230.1	20180
TIS-WT-2	NC_005231.1	5225
TIS-WT-2	NC_005232.1	5629
